method,oracle_type1,oracle_type2,fingerprint_type,total_separating_queries,total_separating_symbols,total_conformance_queries,total_conformance_symbols,total_learning_queries,total_learning_symbols,false_positives,false_negatives,learned_models,len(specifications),start_specs
AL#,WpK,WpK,-,0,0,0,0,21504612,130956238,0,0,558,22,None
IF-AL#,WpK,WpK,sep_seq,2857,7041,20698507,126002384,794132,4979431,0,0,558,22,None
IF-AL#,WpK,WpK,adg,2082,6413,20698107,126000853,794191,4979646,0,0,558,22,None
IF-L#,WpK,WpK,sep_seq,2857,7041,20673925,125873699,790451,4959894,0,0,558,22,None
IF-L#,WpK,WpK,adg,2082,6413,20673521,125872153,791651,4965760,0,0,558,22,None
L#,WpK,WpK,-,0,0,0,0,21379552,130387518,0,0,558,22,None
AL#,RandomWp100,RandomWp100,-,0,0,0,0,595240,3559674,0,2,557,24,None
IF-AL#,RandomWp100,RandomWp100,sep_seq,3168,8639,407610,2694204,28221,176649,0,7,496,29,None
IF-AL#,RandomWp100,RandomWp100,adg,2078,6397,421169,2815803,24514,155331,1,0,557,22,None
IF-L#,RandomWp100,RandomWp100,sep_seq,3184,8607,400430,2640034,32766,208933,0,12,478,34,None
IF-L#,RandomWp100,RandomWp100,adg,2257,7277,418688,2808432,33375,212279,2,11,563,33,None
L#,RandomWp100,RandomWp100,-,0,0,0,0,393952,2228821,152,44,147,66,None
AL#,RandomWord1000,RandomWord1000,-,0,0,0,0,783732,12666895,0,9,541,31,None
IF-AL#,RandomWord1000,RandomWord1000,sep_seq,2707,6224,577411,11546054,28615,482490,72,5,380,23,None
IF-AL#,RandomWord1000,RandomWord1000,adg,2044,6521,577622,11547132,28531,483235,74,4,366,23,None
IF-L#,RandomWord1000,RandomWord1000,sep_seq,3142,8089,573196,11461142,36364,641092,32,11,318,31,None
IF-L#,RandomWord1000,RandomWord1000,adg,2404,7415,571724,11441078,39420,685197,50,12,296,33,None
L#,RandomWord1000,RandomWord1000,-,0,0,0,0,700950,12290318,138,71,133,93,None
AL#,WpK,WpK,-,0,0,0,0,21504689,130956517,0,0,558,22,None
IF-AL#,WpK,WpK,sep_seq,2857,7041,20698507,126002384,794168,4979594,0,0,558,22,None
IF-AL#,WpK,WpK,adg,2082,6413,20698107,126000853,794165,4979534,0,0,558,22,None
IF-L#,WpK,WpK,sep_seq,2857,7041,20673925,125873699,790463,4959936,0,0,558,22,None
IF-L#,WpK,WpK,adg,2082,6413,20673521,125872153,791664,4965771,0,0,558,22,None
L#,WpK,WpK,-,0,0,0,0,21379075,130385185,0,0,558,22,None
AL#,RandomWp100,RandomWp100,-,0,0,0,0,584105,3497055,2,12,542,34,None
IF-AL#,RandomWp100,RandomWp100,sep_seq,3123,8259,410861,2721353,28920,184684,1,6,516,28,None
IF-AL#,RandomWp100,RandomWp100,adg,2046,6108,426180,2858445,26580,168682,0,2,577,24,None
IF-L#,RandomWp100,RandomWp100,sep_seq,2906,7746,389526,2527512,32809,207826,1,11,417,33,None
IF-L#,RandomWp100,RandomWp100,adg,2405,8782,404895,2686334,34764,220099,0,14,506,36,None
L#,RandomWp100,RandomWp100,-,0,0,0,0,392483,2214847,163,48,150,70,None
AL#,RandomWord1000,RandomWord1000,-,0,0,0,0,777172,12632572,9,13,522,35,None
IF-AL#,RandomWord1000,RandomWord1000,sep_seq,2743,6570,576625,11531002,32082,547174,75,5,356,26,None
IF-AL#,RandomWord1000,RandomWord1000,adg,2112,5769,577742,11554763,27032,461295,85,3,349,22,None
IF-L#,RandomWord1000,RandomWord1000,sep_seq,3277,8549,571747,11437654,38473,680699,46,13,305,33,None
IF-L#,RandomWord1000,RandomWord1000,adg,2380,7699,569581,11393000,37981,663149,24,11,342,32,None
L#,RandomWord1000,RandomWord1000,-,0,0,0,0,698401,12267673,126,62,115,84,None
AL#,WpK,WpK,-,0,0,0,0,21504764,130956837,0,0,558,22,None
IF-AL#,WpK,WpK,sep_seq,2857,7041,20698507,126002384,794185,4979669,0,0,558,22,None
IF-AL#,WpK,WpK,adg,2082,6413,20698107,126000853,794222,4979763,0,0,558,22,None
IF-L#,WpK,WpK,sep_seq,2857,7041,20673925,125873699,790473,4959987,0,0,558,22,None
IF-L#,WpK,WpK,adg,2082,6413,20673521,125872153,791639,4965688,0,0,558,22,None
L#,WpK,WpK,-,0,0,0,0,21379373,130386760,0,0,558,22,None
AL#,RandomWp100,RandomWp100,-,0,0,0,0,582128,3484161,4,10,537,32,None
IF-AL#,RandomWp100,RandomWp100,sep_seq,3064,7986,408279,2704076,27707,174213,2,8,503,30,None
IF-AL#,RandomWp100,RandomWp100,adg,2082,6413,422156,2822210,24532,155862,0,0,558,22,None
IF-L#,RandomWp100,RandomWp100,sep_seq,3073,7860,392405,2557134,30884,195406,1,11,431,33,None
IF-L#,RandomWp100,RandomWp100,adg,2637,9558,413245,2765219,35899,227645,2,14,550,36,None
L#,RandomWp100,RandomWp100,-,0,0,0,0,386542,2159405,150,50,134,72,None
AL#,RandomWord1000,RandomWord1000,-,0,0,0,0,777110,12634253,30,12,509,34,None
IF-AL#,RandomWord1000,RandomWord1000,sep_seq,2911,6857,575851,11516005,32680,550213,83,6,487,26,None
IF-AL#,RandomWord1000,RandomWord1000,adg,2077,6322,575956,11523537,29806,503909,40,3,335,24,None
IF-L#,RandomWord1000,RandomWord1000,sep_seq,3280,8617,569355,11381363,43419,767176,57,15,295,37,None
IF-L#,RandomWord1000,RandomWord1000,adg,2192,6920,574119,11480708,35154,621731,75,9,262,30,None
L#,RandomWord1000,RandomWord1000,-,0,0,0,0,699760,12272132,136,66,125,88,None
AL#,WpK,WpK,-,0,0,0,0,21504825,130957059,0,0,558,22,None
IF-AL#,WpK,WpK,sep_seq,2857,7041,20698507,126002384,794132,4979431,0,0,558,22,None
IF-AL#,WpK,WpK,adg,2082,6413,20698107,126000853,794222,4979763,0,0,558,22,None
IF-L#,WpK,WpK,sep_seq,2857,7041,20673925,125873699,790494,4960058,0,0,558,22,None
IF-L#,WpK,WpK,adg,2082,6413,20673521,125872153,791673,4965840,0,0,558,22,None
L#,WpK,WpK,-,0,0,0,0,21379998,130389793,0,0,558,22,None
AL#,RandomWp100,RandomWp100,-,0,0,0,0,592623,3552703,0,2,557,24,None
IF-AL#,RandomWp100,RandomWp100,sep_seq,3580,9299,405726,2679514,27796,173785,6,8,491,30,None
IF-AL#,RandomWp100,RandomWp100,adg,2078,6354,419802,2807267,25834,162775,0,2,557,24,None
IF-L#,RandomWp100,RandomWp100,sep_seq,3183,8652,396461,2607723,34748,218608,31,15,471,37,None
IF-L#,RandomWp100,RandomWp100,adg,2369,8538,409466,2736413,36951,234264,0,14,535,36,None
L#,RandomWp100,RandomWp100,-,0,0,0,0,405830,2287190,153,43,169,65,None
AL#,RandomWord1000,RandomWord1000,-,0,0,0,0,766368,12587365,61,12,452,34,None
IF-AL#,RandomWord1000,RandomWord1000,sep_seq,2782,6713,578406,11574553,27101,462020,137,3,232,22,None
IF-AL#,RandomWord1000,RandomWord1000,adg,2346,7468,572621,11460044,37254,631043,31,9,441,30,None
IF-L#,RandomWord1000,RandomWord1000,sep_seq,3114,8219,570240,11394985,39530,702125,36,14,312,34,None
IF-L#,RandomWord1000,RandomWord1000,adg,2175,6461,571876,11439734,33370,580497,21,8,339,28,None
L#,RandomWord1000,RandomWord1000,-,0,0,0,0,699782,12275282,106,64,126,86,None
AL#,WpK,WpK,-,0,0,0,0,21504547,130955958,0,0,558,22,None
IF-AL#,WpK,WpK,sep_seq,2857,7041,20698507,126002384,794136,4979463,0,0,558,22,None
IF-AL#,WpK,WpK,adg,2082,6413,20698107,126000853,794146,4979429,0,0,558,22,None
IF-L#,WpK,WpK,sep_seq,2857,7041,20673925,125873699,790464,4959907,0,0,558,22,None
IF-L#,WpK,WpK,adg,2082,6413,20673521,125872153,791664,4965835,0,0,558,22,None
L#,WpK,WpK,-,0,0,0,0,21379296,130386203,0,0,558,22,None
AL#,RandomWp100,RandomWp100,-,0,0,0,0,586936,3526067,1,3,554,25,None
IF-AL#,RandomWp100,RandomWp100,sep_seq,2947,7667,399764,2610483,27814,175017,2,7,455,29,None
IF-AL#,RandomWp100,RandomWp100,adg,2290,7816,416939,2785979,26927,170606,0,3,541,25,None
IF-L#,RandomWp100,RandomWp100,sep_seq,3006,7785,390154,2531463,31853,200525,2,12,422,34,None
IF-L#,RandomWp100,RandomWp100,adg,2318,8134,403444,2673797,32133,202558,1,10,495,32,None
L#,RandomWp100,RandomWp100,-,0,0,0,0,396438,2234862,144,49,143,71,None
AL#,RandomWord1000,RandomWord1000,-,0,0,0,0,779099,12647736,0,10,539,32,None
IF-AL#,RandomWord1000,RandomWord1000,sep_seq,3021,7777,579655,11591733,30131,522621,41,6,400,25,None
IF-AL#,RandomWord1000,RandomWord1000,adg,2027,5634,575437,11508763,29860,505642,84,3,301,24,None
