method,oracle_type1,oracle_type2,fingerprint_type,total_separating_queries,total_separating_symbols,total_conformance_queries,total_conformance_symbols,total_learning_queries,total_learning_symbols,false_positives,false_negatives,learned_models,len(specifications),start_specs
AL#,RandomWp100,RandomWp100,None,0,0,0,0,132177,954235,0,0,30,6,None
IF-AL#,RandomWp100,RandomWp100,sep_seq,52,104,55389,457646,28509,210982,0,0,30,6,None
IF-AL#,RandomWp100,RandomWp100,adg,52,159,50129,406596,38490,294747,0,1,29,7,None
IF-L#,RandomWp100,RandomWp100,sep_seq,52,104,55328,457644,28945,215951,0,0,30,6,None
IF-L#,RandomWp100,RandomWp100,adg,52,159,50490,409919,39782,310151,0,1,29,7,None
L#,RandomWp100,RandomWp100,None,0,0,0,0,144884,1083474,0,5,24,11,None
AL#,RandomWord1000,RandomWord1000,None,0,0,0,0,88108,929496,0,4,24,10,None
IF-AL#,RandomWord1000,RandomWord1000,sep_seq,88,299,21104,422583,46658,465192,0,6,22,12,None
IF-AL#,RandomWord1000,RandomWord1000,adg,50,130,23433,469404,29312,295779,0,2,25,8,None
IF-L#,RandomWord1000,RandomWord1000,sep_seq,89,322,19434,388515,45171,468958,0,7,20,13,None
IF-L#,RandomWord1000,RandomWord1000,adg,49,223,20690,413891,37652,386975,0,5,24,11,None
L#,RandomWord1000,RandomWord1000,None,0,0,0,0,83741,905697,0,13,15,19,None
AL#,WpK,WpK,None,0,0,0,0,21283454,174324978,0,0,30,6,None
IF-AL#,WpK,WpK,sep_seq,52,104,16997873,139254875,4277099,35037387,0,0,30,6,None
IF-AL#,WpK,WpK,adg,52,104,16997873,139254875,4276917,35035337,0,0,30,6,None
IF-L#,WpK,WpK,sep_seq,52,104,16966069,138955691,4265981,34937709,0,0,30,6,None
IF-L#,WpK,WpK,adg,52,104,16966069,138955691,4270673,34987560,0,0,30,6,None
L#,WpK,WpK,None,0,0,0,0,21332227,174720927,0,0,30,6,None
AL#,RandomWp100,RandomWp100,None,0,0,0,0,132135,957347,0,0,30,6,None
IF-AL#,RandomWp100,RandomWp100,sep_seq,52,104,55349,458076,28095,205921,0,0,30,6,None
IF-AL#,RandomWp100,RandomWp100,adg,52,159,50120,407001,39035,298532,0,1,29,7,None
IF-L#,RandomWp100,RandomWp100,sep_seq,52,104,55352,456963,28212,209632,0,0,30,6,None
IF-L#,RandomWp100,RandomWp100,adg,52,104,55342,457609,29619,225952,0,0,30,6,None
L#,RandomWp100,RandomWp100,None,0,0,0,0,143943,1078782,0,5,25,11,None
AL#,RandomWord1000,RandomWord1000,None,0,0,0,0,90181,950998,0,4,24,10,None
IF-AL#,RandomWord1000,RandomWord1000,sep_seq,61,160,21154,422243,40691,409353,0,5,24,11,None
IF-AL#,RandomWord1000,RandomWord1000,adg,54,184,22041,441335,35313,350281,0,3,25,9,None
IF-L#,RandomWord1000,RandomWord1000,sep_seq,61,164,20752,413962,36797,372638,0,4,24,10,None
IF-L#,RandomWord1000,RandomWord1000,adg,50,181,20660,411925,42190,429834,0,6,21,12,None
L#,RandomWord1000,RandomWord1000,None,0,0,0,0,84691,911330,0,11,18,17,None
AL#,WpK,WpK,None,0,0,0,0,21284113,174330515,0,0,30,6,None
IF-AL#,WpK,WpK,sep_seq,52,104,16997873,139254875,4275390,35021258,0,0,30,6,None
IF-AL#,WpK,WpK,adg,52,104,16997873,139254875,4275290,35020113,0,0,30,6,None
IF-L#,WpK,WpK,sep_seq,52,104,16966069,138955691,4265554,34933804,0,0,30,6,None
IF-L#,WpK,WpK,adg,52,104,16952437,138831059,4259376,34871804,0,0,30,6,None
L#,WpK,WpK,None,0,0,0,0,21351449,174934684,0,0,30,6,None
AL#,RandomWp100,RandomWp100,None,0,0,0,0,131573,954369,0,0,30,6,None
IF-AL#,RandomWp100,RandomWp100,sep_seq,52,104,55371,457732,28315,211481,0,0,30,6,None
IF-AL#,RandomWp100,RandomWp100,adg,52,104,55400,458418,28511,213535,0,0,30,6,None
IF-L#,RandomWp100,RandomWp100,sep_seq,52,104,55312,456819,28711,212923,0,0,30,6,None
IF-L#,RandomWp100,RandomWp100,adg,55,113,50773,412647,39793,311301,0,1,29,7,None
L#,RandomWp100,RandomWp100,None,0,0,0,0,146492,1096574,0,7,23,13,None
AL#,RandomWord1000,RandomWord1000,None,0,0,0,0,88305,932550,0,5,24,11,None
IF-AL#,RandomWord1000,RandomWord1000,sep_seq,56,132,22837,458347,29674,299998,0,2,25,8,None
IF-AL#,RandomWord1000,RandomWord1000,adg,56,250,21371,426192,28975,298792,0,3,24,9,None
IF-L#,RandomWord1000,RandomWord1000,sep_seq,61,155,20666,412256,35853,380179,0,5,23,11,None
IF-L#,RandomWord1000,RandomWord1000,adg,64,264,20464,409619,40825,425334,0,6,22,12,None
L#,RandomWord1000,RandomWord1000,None,0,0,0,0,85156,923202,0,11,18,17,None
AL#,WpK,WpK,None,0,0,0,0,21283826,174328565,0,0,30,6,None
IF-AL#,WpK,WpK,sep_seq,52,104,16997873,139254875,4275562,35022716,0,0,30,6,None
IF-AL#,WpK,WpK,adg,52,104,16997873,139254875,4276913,35035680,0,0,30,6,None
IF-L#,WpK,WpK,sep_seq,52,104,16966069,138955691,4270981,34990051,0,0,30,6,None
IF-L#,WpK,WpK,adg,52,104,16952437,138831059,4262556,34905532,0,0,30,6,None
L#,WpK,WpK,None,0,0,0,0,21341744,174830843,0,0,30,6,None
AL#,RandomWp100,RandomWp100,None,0,0,0,0,131639,956565,0,0,30,6,None
IF-AL#,RandomWp100,RandomWp100,sep_seq,55,125,50945,414315,36972,282825,0,1,29,7,None
IF-AL#,RandomWp100,RandomWp100,adg,57,119,54304,449623,30897,227702,0,1,29,7,None
IF-L#,RandomWp100,RandomWp100,sep_seq,52,104,55405,457868,29798,226697,0,0,30,6,None
IF-L#,RandomWp100,RandomWp100,adg,55,116,53031,439643,33056,243379,0,1,29,7,None
L#,RandomWp100,RandomWp100,None,0,0,0,0,141259,1051751,0,5,24,11,None
AL#,RandomWord1000,RandomWord1000,None,0,0,0,0,91887,968307,0,4,25,10,None
IF-AL#,RandomWord1000,RandomWord1000,sep_seq,88,299,20831,416537,34356,354381,0,4,23,10,None
IF-AL#,RandomWord1000,RandomWord1000,adg,71,303,19720,395472,45291,458096,0,7,19,13,None
IF-L#,RandomWord1000,RandomWord1000,sep_seq,61,158,19427,389477,38398,393064,0,5,24,11,None
IF-L#,RandomWord1000,RandomWord1000,adg,53,254,18303,368030,48027,493532,0,8,20,14,None
L#,RandomWord1000,RandomWord1000,None,0,0,0,0,87212,936161,0,9,19,15,None
AL#,WpK,WpK,None,0,0,0,0,21283653,174326919,0,0,30,6,None
IF-AL#,WpK,WpK,sep_seq,52,104,16997873,139254875,4275501,35022199,0,0,30,6,None
IF-AL#,WpK,WpK,adg,52,104,16997873,139254875,4275390,35021193,0,0,30,6,None
IF-L#,WpK,WpK,sep_seq,52,104,16952437,138831059,4259148,34870231,0,0,30,6,None
IF-L#,WpK,WpK,adg,52,104,16952437,138831059,4259084,34869111,0,0,30,6,None
L#,WpK,WpK,None,0,0,0,0,21337254,174804526,0,0,30,6,None
AL#,RandomWp100,RandomWp100,None,0,0,0,0,132393,958203,0,1,29,7,None
IF-AL#,RandomWp100,RandomWp100,sep_seq,55,128,51048,415102,38051,294507,0,1,29,7,None
IF-AL#,RandomWp100,RandomWp100,adg,52,104,55326,457232,28355,208770,0,0,30,6,None
IF-L#,RandomWp100,RandomWp100,sep_seq,52,104,55307,456953,29830,225261,0,0,30,6,None
IF-L#,RandomWp100,RandomWp100,adg,58,188,48091,391730,45889,350568,0,3,27,9,None
