method,oracle_type1,oracle_type2,fingerprint_type,total_separating_queries,total_separating_symbols,total_conformance_queries,total_conformance_symbols,total_learning_queries,total_learning_symbols,false_positives,false_negatives,learned_models,len(specifications),start_specs
IF-AL#,RandomWp100,RandomWp100,sep_seq,106,122,15842,94071,4781,26408,0,0,40,8,None
IF-AL#,RandomWp100,RandomWp100,adg,80,96,15676,92785,4813,26341,0,0,40,8,None
IF-L#,RandomWp100,RandomWp100,sep_seq,106,122,15837,93647,4773,26599,0,0,40,8,None
IF-L#,RandomWp100,RandomWp100,adg,80,96,15691,93033,4674,25808,0,0,40,8,None
L#,RandomWp100,RandomWp100,None,0,0,0,0,23838,131790,0,0,40,8,None
AL#,RandomWord1000,RandomWord1000,None,0,0,0,0,45349,819785,0,0,40,8,None
IF-AL#,RandomWord1000,RandomWord1000,sep_seq,106,122,32007,639586,9116,163321,0,0,40,8,None
IF-AL#,RandomWord1000,RandomWord1000,adg,80,96,32005,641500,9136,165257,0,0,40,8,None
IF-L#,RandomWord1000,RandomWord1000,sep_seq,106,122,32006,640035,9027,164432,0,0,40,8,None
IF-L#,RandomWord1000,RandomWord1000,adg,80,96,32005,639681,9088,164775,0,0,40,8,None
L#,RandomWord1000,RandomWord1000,None,0,0,0,0,45461,820917,0,0,40,8,None
AL#,WpK,WpK,None,0,0,0,0,225446,1251246,0,0,40,8,None
IF-AL#,WpK,WpK,sep_seq,106,122,179639,999233,44943,249916,0,0,40,8,None
IF-AL#,WpK,WpK,adg,80,96,179640,999230,44939,249880,0,0,40,8,None
IF-L#,WpK,WpK,sep_seq,106,122,179639,999233,44877,249662,0,0,40,8,None
IF-L#,WpK,WpK,adg,80,96,179640,999230,44911,249740,0,0,40,8,None
L#,WpK,WpK,None,0,0,0,0,225436,1251426,0,0,40,8,None
AL#,RandomWp100,RandomWp100,None,0,0,0,0,23740,130246,0,0,40,8,None
IF-AL#,RandomWp100,RandomWp100,sep_seq,106,122,15789,93369,4684,25810,0,0,40,8,None
IF-AL#,RandomWp100,RandomWp100,adg,80,96,15797,93582,4713,26098,0,0,40,8,None
IF-L#,RandomWp100,RandomWp100,sep_seq,106,122,15713,93277,4720,26042,0,0,40,8,None
IF-L#,RandomWp100,RandomWp100,adg,80,96,15782,93287,4779,26742,0,0,40,8,None
L#,RandomWp100,RandomWp100,None,0,0,0,0,23816,130907,0,0,40,8,None
AL#,RandomWord1000,RandomWord1000,None,0,0,0,0,45427,819693,0,0,40,8,None
IF-AL#,RandomWord1000,RandomWord1000,sep_seq,106,122,32009,640512,9131,163640,0,0,40,8,None
IF-AL#,RandomWord1000,RandomWord1000,adg,80,96,32007,639291,9124,163995,0,0,40,8,None
IF-L#,RandomWord1000,RandomWord1000,sep_seq,106,122,32010,639342,9075,163759,0,0,40,8,None
IF-L#,RandomWord1000,RandomWord1000,adg,80,96,32008,639252,9075,163341,0,0,40,8,None
L#,RandomWord1000,RandomWord1000,None,0,0,0,0,45502,820116,0,0,40,8,None
AL#,WpK,WpK,None,0,0,0,0,225450,1251266,0,0,40,8,None
IF-AL#,WpK,WpK,sep_seq,106,122,179639,999233,44939,249892,0,0,40,8,None
IF-AL#,WpK,WpK,adg,80,96,179640,999230,44943,249900,0,0,40,8,None
IF-L#,WpK,WpK,sep_seq,106,122,179639,999233,44881,249686,0,0,40,8,None
IF-L#,WpK,WpK,adg,80,96,179640,999230,44911,249740,0,0,40,8,None
L#,WpK,WpK,None,0,0,0,0,225440,1251443,0,0,40,8,None
AL#,RandomWp100,RandomWp100,None,0,0,0,0,23824,130625,0,0,40,8,None
IF-AL#,RandomWp100,RandomWp100,sep_seq,106,122,15753,93470,4771,26235,0,0,40,8,None
IF-AL#,RandomWp100,RandomWp100,adg,80,96,15689,93006,4802,26523,0,0,40,8,None
IF-L#,RandomWp100,RandomWp100,sep_seq,106,122,15662,92823,4696,26078,0,0,40,8,None
IF-L#,RandomWp100,RandomWp100,adg,80,96,15840,93975,4648,25773,0,0,40,8,None
L#,RandomWp100,RandomWp100,None,0,0,0,0,23848,131410,0,0,40,8,None
AL#,RandomWord1000,RandomWord1000,None,0,0,0,0,45483,820889,0,0,40,8,None
IF-AL#,RandomWord1000,RandomWord1000,sep_seq,106,122,32006,640635,9120,164834,0,0,40,8,None
IF-AL#,RandomWord1000,RandomWord1000,adg,80,96,32007,640470,9128,163464,0,0,40,8,None
IF-L#,RandomWord1000,RandomWord1000,sep_seq,106,122,32007,640386,9058,164571,0,0,40,8,None
IF-L#,RandomWord1000,RandomWord1000,adg,80,96,32004,638648,9046,164478,0,0,40,8,None
L#,RandomWord1000,RandomWord1000,None,0,0,0,0,45512,822831,0,0,40,8,None
AL#,WpK,WpK,None,0,0,0,0,225454,1251290,0,0,40,8,None
IF-AL#,WpK,WpK,sep_seq,106,122,179639,999233,44935,249872,0,0,40,8,None
IF-AL#,WpK,WpK,adg,80,96,179640,999230,44943,249900,0,0,40,8,None
IF-L#,WpK,WpK,sep_seq,106,122,179639,999233,44885,249706,0,0,40,8,None
IF-L#,WpK,WpK,adg,80,96,179640,999230,44907,249720,0,0,40,8,None
L#,WpK,WpK,None,0,0,0,0,225439,1251445,0,0,40,8,None
AL#,RandomWp100,RandomWp100,None,0,0,0,0,23587,129191,0,0,40,8,None
IF-AL#,RandomWp100,RandomWp100,sep_seq,106,122,15816,93342,4840,26695,0,0,40,8,None
IF-AL#,RandomWp100,RandomWp100,adg,80,96,15761,93526,5042,27927,0,0,40,8,None
IF-L#,RandomWp100,RandomWp100,sep_seq,106,122,15749,93131,4637,25806,0,0,40,8,None
IF-L#,RandomWp100,RandomWp100,adg,80,96,15817,93897,4703,26118,0,0,40,8,None
L#,RandomWp100,RandomWp100,None,0,0,0,0,23960,132057,0,0,40,8,None
AL#,RandomWord1000,RandomWord1000,None,0,0,0,0,45407,818150,0,0,40,8,None
IF-AL#,RandomWord1000,RandomWord1000,sep_seq,106,122,32007,642226,9132,164424,0,0,40,8,None
IF-AL#,RandomWord1000,RandomWord1000,adg,80,96,32005,640381,9156,164176,0,0,40,8,None
IF-L#,RandomWord1000,RandomWord1000,sep_seq,106,122,32008,638870,9116,164279,0,0,40,8,None
IF-L#,RandomWord1000,RandomWord1000,adg,80,96,32005,639232,9092,165179,0,0,40,8,None
L#,RandomWord1000,RandomWord1000,None,0,0,0,0,45526,822308,0,0,40,8,None
AL#,WpK,WpK,None,0,0,0,0,225446,1251246,0,0,40,8,None
IF-AL#,WpK,WpK,sep_seq,106,122,179639,999233,44935,249872,0,0,40,8,None
IF-AL#,WpK,WpK,adg,80,96,179640,999230,44947,249924,0,0,40,8,None
IF-L#,WpK,WpK,sep_seq,106,122,179639,999233,44877,249662,0,0,40,8,None
IF-L#,WpK,WpK,adg,80,96,179640,999230,44915,249764,0,0,40,8,None
L#,WpK,WpK,None,0,0,0,0,225456,1251488,0,0,40,8,None
